iter	Passed	Remaining
661	541174	112812
662	542203	112039
663	543088	111234
664	543874	110410
665	544686	109591
666	545564	108785
667	546508	107992
668	547445	107197
669	548263	106379
670	549079	105560
671	549923	104747
672	550912	103961
673	551694	103135
674	552553	102324
675	553673	101561
676	554494	100742
677	555369	99933
678	556331	99140
679	557364	98358
680	558169	97536
681	559341	96777
682	560273	95976
683	561018	95143
684	561884	94331
685	562665	93504
686	563475	92682
687	564323	91866
688	565106	91040
689	565929	90220
690	566744	89399
691	567519	88572
692	568301	87746
693	569079	86919
694	569900	86100
695	570684	85274
696	571587	84467
697	572316	83633
698	573098	82808
699	574062	82008
700	574971	81201
701	575813	80384
702	576680	79570
703	577583	78761
704	578424	77943
705	579222	77120
706	580288	76332
707	581110	75511
708	581875	74683
709	582679	73860
710	583441	73032
711	584247	72210
712	585099	71393
713	586040	70587
714	586907	69772
715	587731	68951
716	588514	68126
717	589203	67290
718	589972	66464
719	590747	65638
720	591508	64811
721	592278	63985
722	593102	63165
723	594028	62356
724	594840	61535
725	596027	60752
726	597019	59948
